gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
PRKAR1B,0.52314115,3.2574348,9.313233625058617e-18,2.908567653047663e-17,17.03089950251043,False
IGLC3,-2.720563,7.3594947,9.403379383834793e-18,2.9348874481382e-17,17.02671604171959,True
RPL7AP50,0.5705724,1.4048685,9.445056154115962e-18,2.946056192799739e-17,17.024795455704012,False
LINC01133,-1.5655148,3.0083494,1.0472102684753749e-17,3.2643711610828395e-17,16.979966107939035,True
RNF113A,0.5941293,3.909255,1.064978928898114e-17,3.3176913672838444e-17,16.972658984857926,False
STK4,0.44343925,2.904008,1.083729406136822e-17,3.37400188710094e-17,16.965079142236487,False
PLA2G10,-1.406853,2.8635464,1.1526894641376111e-17,3.586463796321129e-17,16.93828767637928,True
GFUS,1.1739216,5.096721,1.1585583866131088e-17,3.602482545438771e-17,16.936082074653516,True
FAM89B,0.42888546,1.6792454,1.1785918008229844e-17,3.6624978272933016e-17,16.928636584511633,False
IGKV3-7,-2.352226,2.5312533,1.1849019062624281e-17,3.679819584665926e-17,16.926317601833034,True
LGALS3,-1.1618805,8.993199,1.1884219399307459e-17,3.688460397053835e-17,16.925029339110967,True
HSPA4L,0.5214718,0.8427731,1.214569703363786e-17,3.7672757548504524e-17,16.91557755626634,False
SLC43A1,1.008646,2.930693,1.2346373304010405e-17,3.8271460954774975e-17,16.908460595875244,True
IL10RA,-1.0252187,1.9397124,1.2363322959014284e-17,3.8300256998185516e-17,16.907864785816347,True
ENSG00000271870,0.5937736,1.7740206,1.2887005195750592e-17,3.9897848903252604e-17,16.889847996383928,False
IGHV4-34,-2.4805493,5.0446367,1.2949000983951596e-17,4.006497829192944e-17,16.887763736130463,True
CD163L1,-2.008935,1.9672766,1.3462897299133096e-17,4.162924334920562e-17,16.87086146718327,True
MIR25,0.90702,1.9928792,1.3520987745007544e-17,4.1783027642174116e-17,16.86899158083986,False
ENSG00000287837,0.6845865,1.4959635,1.3683584804884535e-17,4.2233286434828814e-17,16.86380011189732,False
ODC1,1.1906214,5.8910108,1.3681089988096883e-17,4.2233286434828814e-17,16.863879300499082,True
ALDH6A1,-0.7316327,2.5810978,1.4056209842903875e-17,4.3356600379098934e-17,16.85213176795165,False
ADISSP,0.9966221,4.5677094,1.4341271334964013e-17,4.420860460839708e-17,16.843412347323323,False
RPS10P2,0.5417373,0.8189391,1.4404164521964518e-17,4.4375121755898085e-17,16.84151192683329,False
EIF3EP3,0.7951157,1.143811,1.4685995684238143e-17,4.521550395393517e-17,16.833096603753958,False
IGLV3-1,-2.8770852,6.8109875,1.488372876983775e-17,4.579608852257769e-17,16.82728825284266,True
RPL18,0.7543082,7.968603,1.4894455716135386e-17,4.580090933620968e-17,16.826975362458867,False
CDKN1A,-1.1755219,6.2113667,1.497737925413503e-17,4.602759451178559e-17,16.82456417295437,True
FDXR,0.6765425,2.707786,1.5900438394515587e-17,4.883427025342625e-17,16.79859090148494,False
CENPW,1.2585678,4.107428,1.622459938791904e-17,4.9799261473048006e-17,16.78982601784125,True
PCBP4,0.77979374,2.7708468,1.7688779086799235e-17,5.4260058548463906e-17,16.75230214188759,False
ENSG00000223931,-1.7318225,1.471906,1.779427252843021e-17,5.4550191687401015e-17,16.749719762273596,True
IGKV6-21,-2.733225,2.943049,1.8028306983564816e-17,5.52337836506275e-17,16.744045055430597,True
PIGZ,-1.7623487,4.023938,1.8066969120136295e-17,5.531833778363838e-17,16.743114697732562,True
TP53I3,-0.9723866,4.0765023,1.963689691057582e-17,6.008842383897129e-17,16.706927139822422,False
TP53INP1,-0.875597,2.7376363,1.9751480149469955e-17,6.040207996779802e-17,16.704400353371167,False
CCDC34,0.7927005,2.6508965,1.9883021795603082e-17,6.074378739169238e-17,16.701517611416257,False
DSC2,-1.3604422,3.888579,1.9887515992040085e-17,6.074378739169238e-17,16.701419458118362,True
RPL3P7,0.8078992,0.98192525,2.0066911000349294e-17,6.12543070828733e-17,16.69751947548223,False
GEMIN4,0.5919192,2.8677635,2.0164288632041735e-17,6.151399826736344e-17,16.695417094689258,False
MIR589,0.53968143,0.65459764,2.025716835697108e-17,6.175965962491183e-17,16.693421262474725,False
NDUFB8,0.498649,1.954102,2.0325289769515853e-17,6.192958491625793e-17,16.691963254127266,False
FADS2,0.9348905,1.6215612,2.0404368299251567e-17,6.21326683899256e-17,16.69027684604611,False
CTSH,0.9322078,3.0320406,2.0711472000231267e-17,6.302943396296794e-17,16.683789033947694,False
IGHV3-33,-2.660998,4.83791,2.0743329254641807e-17,6.308798435110039e-17,16.683121539129058,True
RPL39P40,1.0301621,1.424544,2.0944704606309593e-17,6.366171612860059e-17,16.67892576033281,True
CAPN9,-1.6247041,2.437015,2.1009126054032618e-17,6.381873041929714e-17,16.677592013172596,True
CLIC3,1.0730022,2.0461495,2.1266697355350713e-17,6.456192275455589e-17,16.67229994929396,True
MZT2B,0.5010822,4.154174,2.2432999732414302e-17,6.806128559591718e-17,16.649112648836645,False
CDHR2,-2.2191832,3.8882256,2.284639674269223e-17,6.927348921374235e-17,16.64118228566689,True
LOC124906144,0.42925042,0.36198756,2.329653754891112e-17,7.05955683300337e-17,16.632708621254743,False
IGHV3-73,-2.7672281,4.138631,2.4261928283113302e-17,7.347646360724805e-17,16.615074685355854,True
CDKN3,1.2052808,2.9982157,2.5093946594376482e-17,7.595020155682954e-17,16.600431030619568,True
TNFSF10,-1.3729734,4.990201,2.6038649732046303e-17,7.876179592270509e-17,16.584381540423575,True
ADA,0.77320814,1.8467281,2.6284826916305085e-17,7.945836431773e-17,16.58029487843407,False
CDCA8,1.0904164,3.8689,2.650364037668745e-17,8.007142107760558e-17,16.576694469952834,True
TLCD2,-1.2089691,2.5729759,2.6710349404604353e-17,8.064719023129333e-17,16.573320430829277,True
CFAP68,0.59366083,2.349634,2.756717596961438e-17,8.318399508030894e-17,16.559607721512343,False
BACE2,1.1441655,3.802502,2.8304064152482276e-17,8.535604388565222e-17,16.548151200084526,True
LRRC66,-1.4170687,2.2364416,2.85735237110576e-17,8.611670798992646e-17,16.54403619875259,True
FDPS,0.7135172,3.8539648,2.893070818597741e-17,8.714068730716088e-17,16.538640935259803,False
SNORD100,1.1450778,1.708025,2.940283602813521e-17,8.850944018102109e-17,16.531610778024312,True
NEDD8,0.48160648,2.9863515,2.947518715652984e-17,8.867384824467462e-17,16.530543428614887,False
FEN1,1.0361872,4.147592,3.0849039176581507e-17,9.275117010397326e-17,16.51075835794539,True
COL12A1,1.6021211,3.1559114,3.130227122866704e-17,9.405730537460048e-17,16.504424149792484,True
SPARCL1,-2.138829,5.03009,3.133287559395647e-17,9.409271950137078e-17,16.503999745645633,True
HMOX1,-1.5587606,4.37182,3.165342104869528e-17,9.499826245106626e-17,16.499579345290243,True
